Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Personnel Services,Temporary/Casual Employment,14067.22,1969
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Personnel Services,Retirement Expense (Vsrs Emp),14094.27,0
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Employee Training Expense,14167.94,24800
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Department Specific Appropriation,All Purpose Appropriations,14218.7,560000
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Telephone Chargeback I.S.,14220,14220
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Temporary/Casual Employment,14423.1,0
2022,Libraries,General Fund,Director¿s Office,Contractual Services,Employee Training Expense,14427.67,20591
2022,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Supplies-Office,14430.18,12800
2022,The Department of Parks & Recreation (P&R),General Fund,Youth Development,Personnel Services,Retirement,14531,14531
2022,Norfolk Community Services Board,Community Services Board,Behavioral Health Outpatient Services,Personnel Services,Social Security Fica Tax,14536.89,21525
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Gas-Natural & Propane,14545.35,14316
2022,Norfolk Community Services Board,Community Services Board,Benefits Acquisition,Personnel Services,Retirement,14547,14547
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,14567.48,1200
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Repairs-Household Equipment,14573.2,22000
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Temp Services-Admin/Clerical,14574.16,12000
2022,Police,General Fund,First Patrol,Equipment,Equip-Bldg-Mech & Portable,14580.62,7738
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Personnel Services,Social Security Fica Tax,14624.24,92501
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Personnel Services,Employers Contrb Hospitalizatn,14633.94,15414
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,FY16 Fire-Rescue Grant,Contractual Services,Depr-System Account,14677.16,0
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Membership Dues & Subscription,14704.65,8500
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Personnel Services,Employers Contrb Hospitalizatn,14717.22,14805
2022,Slover Library,General Fund,Slover Library,Personnel Services,Retirement Expense (Vsrs Emp),14839.41,0
2022,City Attorney,General Fund,City Attorney,Contractual Services,Traveling Expense,14908.29,10000
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Personnel Services,Employers Contrb Hospitalizatn,14946.43,15134
2022,Water,Water Utility Fund,Division Of Engineering,Personnel Services,Retirement Expense (Vsrs Emp),14948.23,0
2022,Human Services,General Fund,Local Only Programs,Personnel Services,Employers Contrb Hospitalizatn,14985.11,74280
2022,Human Services,General Fund,Social Services,Public Assistance,Chafee Independent Living COVID,14996.66,0
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Personnel Services,Semi-Monthly/Monthly Overtime,15051.13,25300
2022,Police,General Fund,Investigative Services,Personnel Services,Temporary/Casual Employment,15096.09,8844
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,Fire Program Aid to Locality Fund,Contractual Services,Depr-System Account,15133.33,0
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Personnel Services,Group Life Insurance Perm,15176.2,23824
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Equipment,Equip-Office & Household,15185.41,15000
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Gas-Natural & Propane,15252.81,21560
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Gas-Natural & Propane,15362.92,15000
2022,Public Works,General Fund,Directors Office Public Works,Equipment,Equip-Software-Over $1000,15454.2,0
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Contractual Services,Telephone Chargeback I.S.,15480,15480
2022,Police,General Fund,Property-Evidence,"Materials, Supplies, and Repairs",Supplies-Office,15573.83,6000
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,Public Assistance,General Relief,15610.79,45518
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Telephone Chargeback I.S.,15686,15686
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Equipment,Equip-Books-Over $1000,15693.55,12000
2022,Outside Agencies,General Fund,Friends Of Fred Heutte,Department Specific Appropriation,All Purpose Appropriations,15750,15750
2022,City Attorney,General Fund,City Attorney,Contractual Services,Membership Dues & Subscription,15760,13600
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Retirement Expense (Vsrs Emp),15797.81,0
2022,Finance Department,General Fund,City Controller,Contractual Services,Other Contractual Services,16009.4,0
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,Personnel Services,Retirement,16038,16038
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,"Materials, Supplies, and Repairs",Supplies-Office,16039.38,15226
2022,Fire-Rescue,General Fund,Operations,Equipment,Equip-Bldg-Mech & Portable,16064.41,33150
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Telephone,16133.09,14991
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",AFMS,16137,16137
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,16264,16264
2022,Finance Department,General Fund,City Controller,Contractual Services,Service Charge Credit Cards,16289.51,13000
2022,Slover Library,General Fund,Slover Library,Personnel Services,Group Life Insurance Perm,16320.23,17769
2022,Slover Library,General Fund,Slover Library,Equipment,Equip-Lease/Purchase,16452.61,19256
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Telephone Chargeback I.S.,16560,16560
2022,Office of Marketing and Communications,General Fund,Norfolk Arts,Personnel Services,Social Security Fica Tax,16575.53,16806
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Personnel Services,Social Security Fica Tax,16652.13,17208
2022,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,16793.42,23600
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Contractual Services,Temp Services-Admin/Clerical,16793.82,1
2022,Public Works,General Fund,Directors Office Public Works,Contractual Services,Other Contractual Services,16907.28,99800
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Other Contractual Services,16974.75,22548
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Telephone,16980.96,12280
2022,Norfolk Community Services Board,Community Services Board,Drug Court,Personnel Services,Retirement,16982.3,33019
2022,Zoological Park,General Fund,Horticulture Services,Personnel Services,Social Security Fica Tax,17037.51,20918
2022,Libraries,General Fund,Branch Operations,"Materials, Supplies, and Repairs",Supplies-Office,17039.93,19896
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Employee Training Expense,17055.2,20000
2022,Transportation,General Fund,Transportation,Contractual Services,Other Contractual Services,17121.37,156625
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Personnel Services,Social Security Fica Tax,17137.94,22060
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Gas-Natural & Propane,17139.17,5000
2022,The National Maritime Center,Maritime Center,USS Wisconsin,"Materials, Supplies, and Repairs",Repairs-Building Equipment,17157.56,37000
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Equipment,Technology Equipment,17286.58,37000
2022,Police,General Fund,Anti-Crime Division,Contractual Services,Rent Of Equipment,17311.35,13801
2022,Police,General Fund,Animal Protection,Contractual Services,Other Contractual Services,17396,25420
2022,Human Resources,General Fund,Director Of Human Resources,Contractual Services,Employee Training Expense,17403.18,33943
2022,Sheriff,General Fund,Sheriff And Jail,Contractual Services,Rent Of Land-Bldgs & Offices,17407.44,17000
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Contractual Services,Security Services,17427.73,19777
2022,Police,General Fund,Special Enforcement Division,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",17472.27,34500
2022,Development,General Fund,Development Division,Contractual Services,Telephone,17548.89,31800
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Contractual Services,Telephone,17591.87,18300
2022,Norfolk Community Services Board,Community Services Board,Board Operations,"Materials, Supplies, and Repairs",Supplies-Office,17599.91,6116
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Repairs-Buildings,17625.53,50000
2022,Water,Water Utility Fund,Division Of Engineering,Contractual Services,Telephone Chargeback I.S.,17640,17640
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Contractual Services,Water & Sewage Disposal,17652.9,15000
2022,Water,Water Utility Fund,Division of Water Distribution,Equipment,Equip-Office & Household,17832.13,40900
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Temp Services-Admin/Clerical,17849.81,1
2022,Public Works,General Fund,Directors Office Public Works,Contractual Services,Temp Services-Admin/Clerical,17853.45,1000
2022,Libraries,General Fund,Programming Services,Contractual Services,Other Contractual Services,17948.27,76500
2022,Outside Agencies,General Fund,St. Mary's Home for the Disabled,Department Specific Appropriation,All Purpose Appropriations,18000,18000
2022,Outside Agencies,General Fund,Urban Renewal Center,Department Specific Appropriation,All Purpose Appropriations,18000,18000
2022,Human Services,General Fund,Ysb - Secure Detention,Contractual Services,Rent Of Equipment,18017.78,21630
2022,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Supplies-Office,18031.52,15999
2022,Fire-Rescue,General Fund,Administration,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,18041.65,8729
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Chemicals,18048.99,94400
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Personnel Services,Temporary-Overtime,18057.33,0
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Telephone,18078.71,22200
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Personnel Services,Employers Contrb Hospitalizatn,18098.74,25952
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Signs,18229.71,13000
2022,Planning and Community Development,General Fund,Planning & Community Developement,Contractual Services,Employee Training Expense,18232.55,23254
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Contractual Services,Temp Services-Admin/Clerical,18234.98,1
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Equipment,Equip-Office & Household,18269.36,28000
2022,Norfolk Community Services Board,Community Services Board,Child And Adolescent Cm,Personnel Services,Social Security Fica Tax,18276.07,28780
2022,Norfolk Community Services Board,Community Services Board,Board Operations,"Materials, Supplies, and Repairs",Supplies-Maintenance,18316.11,9098
